No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr),nyr,yrb,yre,elev(m),CT,CN,River_Name
56,10370,-78.75,53.75,96300.0,53.728,18.8,1960,1978,7.0,CA,,Grande
112,10357,74.75,68.75,95100.0,27.851999999999997,50.2,1939,1991,2.0,RU,AS,Pur
34,10336,143.25,-3.75,40922.0,118.605,4.0,1980,1984,40.0,PG,PO,Sepik
192,10313,-6.25,36.75,46995.0,9.966000000000001,75.9,1913,1994,10.0,ES,EU,Guadalquivir
94,10303,18.75,54.25,194000.0,32.871,94.0,1900,1994,-9999.0,PL,EU,Vistula
2,10291,12.75,-5.75,3475000.0,1270.203,97.1,1903,2000,270.0,CD,AF,Congo
45,10274,5.75,52.75,180000.0,70.459,103.0,1901,2003,-9999.0,NL,EU,Rhine
5,10245,89.75,24.25,554542.0,670.943,44.3,1956,2000,19.0,BD,AS,Brahmaputra
27,10139,6.25,4.75,2209302.5,180.524,73.0,1915,2006,-999.0,Ni,Ni,Niger
173,10120,161.25,68.25,49600.0,8.415,23.0,1978,2000,-9999.0,RU,AS,Bolshoy
42,10112,-36.75,-10.25,622600.0,89.363,76.4,1926,2006,40.0,BR,SA,Sao
9,10095,126.75,72.75,2430000.0,529.295,71.4,1934,2006,0.0,RU,AS,Lena
19,10069,-134.25,68.75,1660000.0,283.431,46.6,1943,2006,-9999.0,CA,,Mackenzie
668,10000,-48.83,-26.45,337.0,0.743,19.8,1977,1999,8.0,BR,SA,Pirai
661,10000,20.02,41.62,646.0,0.789,39.0,1950,1988,152.0,AL,EU,Mati
665,10000,-76.46,18.13,215.0,0.759,10.8,1969,1979,31.0,JM,CB,Rio
664,10000,-71.07,18.68,1709.0,0.759,7.8,1976,1984,300.0,DO,CB,Yaque
663,10000,24.0,58.73,2650.0,0.78,61.4,1924,1985,3.0,EE,EU,Kazari
662,10000,24.17,56.4,5320.0,0.7879999999999999,65.2,1920,1985,10.0,LV,EU,Musa-LV
667,10000,-47.65,-24.17,634.0,0.7509999999999999,27.2,1972,1999,-9999.0,BR,SA,Acungui
669,10000,169.73,-44.47,557.0,0.738,31.0,1964,1994,-9999.0,NZ,PO,Ahuriri
670,10000,120.53,22.45,310.0,0.732,32.0,1962,1993,-9999.0,TW,AS,Lin-Pien
666,10000,-35.05,-8.02,7004.0,0.753,20.6,1956,1989,55.0,BR,SA,Capibaribe
637,10000,-79.27,-6.61,3000.0,0.9059999999999999,47.0,1914,1960,306.0,PE,SA,Chancay-Lambaye
660,10000,16.0,67.6,390.0,0.784,58.1,1916,1974,-9999.0,NO,EU,Kobbelv
659,10000,145.62,-16.8,1940.0,0.79,79.7,1914,1994,-9999.0,QX,AU,Barron
638,10000,-4.56,52.04,894.0,0.895,40.3,1959,1999,5.2,UK,EU,Teifi
636,10000,-35.31,-8.64,1360.0,0.9009999999999999,9.6,1989,1998,100.0,BR,SA,Sirinhaem
639,10000,-8.3,40.75,928.0,0.903,18.7,1962,1980,50.0,PT,EU,Vouga
635,10000,-77.2,-11.13,5000.0,0.866,56.3,1911,1968,672.0,PE,SA,Huaura
640,10000,-2.95,51.75,912.0,0.885,42.7,1957,1999,22.6,UK,EU,Usk
634,10000,147.38,-37.77,3903.0,0.892,64.5,1937,2002,37.9,VX,AU,Mitchell
641,10000,77.8,10.1,2253.0,0.885,6.8,1972,1979,279.0,IN,AS,Vaigai
633,10000,-80.53,7.87,1000.0,0.9109999999999999,11.8,1973,1984,25.0,PA,CA,La
671,10000,117.4,39.77,5120.0,0.725,37.0,1951,1987,-9999.0,CN,AS,Jiyun
