m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
10000 9.13 52.97 37788.0 9.981 66.0 1921 1986 5.0 DE EU Weser ATL
10000 175.15 -37.67 11395.0 9.847 8.9 1976 1984 25.0 NZ PO Waikato PAC
10000 86.57 22.45 15152.0 9.791 10.7 1964 1974 -9999.0 IN AS Subarnarekha IND
10000 9.97 4.46 8250.0 9.734 26.0 1951 1977 12.0 CM AF Wouri ATL
10000 9.92 59.90 16020.0 9.703 62.8 1912 1974 -9999.0 NO EU Dramselv ATL
10000 -80.00 -1.70 8690.0 8.331 20.9 1970 1994 20.0 EC SA Daule PAC
10000 26.82 60.69 36535.0 9.575 102.0 1900 2001 19.0 FI EU Kymi ATL
10000 96.47 18.92 14660.0 9.434 -999.0 -999 -999 0.0 MM AS Sittang IND
10000 87.37 23.43 19220.0 9.351 40.7 1934 1979 -9999.0 IN AS Damodar IND
10000 -8.38 42.08 15457.0 7.878 59.8 1914 1990 9.0 PT EU Minho (Mino)
10000 128.85 35.40 22916.0 9.149 19.0 1953 1972 -9999.0 KR AS Nagdong (Nakdon
10000 -77.48 1.62 13147.0 9.166 12.4 1971 1984 380.0 CO SA Patía PAC
10000 -51.52 -3.77 23070.0 9.169 11.1 1977 1989 -9999.0 BR SA Bacaja ATL
10000 -89.82 30.79 17024.0 9.086 59.0 1938 1997 16.8 US NA Pearl ATL
10000 -88.72 30.98 17068.0 9.028 69.0 1930 1999 8.0 US NA Pascagoula ATL
10000 -79.55 34.20 22870.0 9.008 60.0 1938 1998 7.5 US NA Pee Dee
10000 34.48 64.93 27700.0 8.370 63.9 1917 1988 -9999.0 RU EU Kem ARC
10000 167.80 -45.20 3302.0 8.826 37.4 1932 1969 -9999.0 NZ PO Waiau (S)
10000 161.25 69.25 26700.0 8.417 39.5 1944 1987 -9999.0 RU AS Anadyr Kolyma
10000 11.30 2.30 18100.0 8.697 26.5 1953 1979 500.0 CM AF Ntem ATL
10000 99.83 13.56 26449.0 8.650 31.5 1965 1996 -9999.0 TH AS Mae Klong
10000 121.68 16.60 4244.0 8.562 5.5 1969 1974 92.0 PH AS Cagayan PAC
10000 135.63 34.80 7281.0 8.455 43.0 1953 2000 7.0 JP AS Yodo PAC
10000 46.93 -16.93 11800.0 8.563 12.0 1957 1969 -9999.0 MG AF Betsiboka IND
10000 -178.70 67.67 26400.0 8.411 41.5 1944 1987 -9999.0 RU AS Amguema ARC
10000 114.64 3.97 3210.0 8.364 8.8 1977 1987 -9999.0 MY AS Tutoh PAC
10000 34.67 64.48 26600.0 8.270 12.0 1962 1973 -9999.0 RU EU Nyzhny Vig
10000 -122.91 46.28 5796.0 8.237 70.3 1926 2001 6.2 US NA Cowlitz PAC
10000 148.70 -9.35 4210.0 8.267 6.1 1958 1964 -9999.0 PG PO Musa PAC
10000 34.50 64.43 26500.0 8.191 33.0 1956 1988 -9999.0 RU EU Belomorkanal ARC
10000 120.82 15.15 6487.0 7.269 30.8 1946 1977 1.0 PH AS Pampanga PAC
10000 117.29 5.30 5730.0 7.797 11.3 1970 1985 -9999.0 MY AS Milan PAC
10000 -71.08 -35.70 5454.0 7.750 76.9 1915 1993 -9999.0 CL SA Maule PAC
10000 -82.25 53.25 24200.0 7.700 28.8 1965 1994 240.0 CA NA Attawapiskat ATL
10000 -76.20 56.86 12500.0 7.653 18.3 1974 1993 -9999.0 CA NA Nastapoca ATL
